id,code,name,country_id,regional_level,parent_id
id_p_11,11,Aceh,id,province,,
id_p_12,12,Sumatera Utara,id,province,,
id_p_13,13,Sumatera Barat,id,province,,
id_p_14,14,Riau,id,province,,
id_p_15,15,Jambi,id,province,,
id_p_16,16,Sumatera Selatan,id,province,,
id_p_17,17,Bengkulu,id,province,,
id_p_18,18,Lampung,id,province,,
id_p_19,19,Kepulauan Bangka Belitung,id,province,,
id_p_21,21,Kepulauan Riau,id,province,,
id_p_31,31,DKI Jakarta,id,province,,
id_p_32,32,Jawa Barat,id,province,,
id_p_33,33,Jawa Tengah,id,province,,
id_p_34,34,Di Yogyakarta,id,province,,
id_p_35,35,Jawa Timur,id,province,,
id_p_36,36,Banten,id,province,,
id_p_51,51,Bali,id,province,,
id_p_52,52,Nusa Tenggara Barat,id,province,,
id_p_53,53,Nusa Tenggara Timur,id,province,,
id_p_61,61,Kalimantan Barat,id,province,,
id_p_62,62,Kalimantan Tengah,id,province,,
id_p_63,63,Kalimantan Selatan,id,province,,
id_p_64,64,Kalimantan Timur,id,province,,
id_p_65,65,Kalimantan Utara,id,province,,
id_p_71,71,Sulawesi Utara,id,province,,
id_p_72,72,Sulawesi Tengah,id,province,,
id_p_73,73,Sulawesi Selatan,id,province,,
id_p_74,74,Sulawesi Tenggara,id,province,,
id_p_75,75,Gorontalo,id,province,,
id_p_76,76,Sulawesi Barat,id,province,,
id_p_81,81,Maluku,id,province,,
id_p_82,82,Maluku Utara,id,province,,
id_p_91,91,Papua Barat,id,province,,
id_p_94,94,Papua,id,province,,


